date,year,country,state,location,activity,injury,time,species,unnamed_21,unnamed_22,incident_date,month,decade,sex_clean,age_numeric,age_group,fatal,activity_group,incident_type
2025-01-22 00:00:00,2025,AUSTRALIA,Western Australia,Cheynes beach,Surfing,None - chunk of surfboard bitten out,1600hrs,Bronze whaler,,,,,2020,M,37,30–44,No,Surfing,Unprovoked
2025-01-03 00:00:00,2025,MOZAMBIQUE,Inhambane Province,Vilankulo Bay,Spearfishing,"Legs, buttocks and stomach",1330hrs,Described as a large terrifying animal,,,,,2020,M,36,30–44,Yes,Fishing,Unprovoked
2025-01-11 00:00:00,2025,USA,Hawaii,Off Haleiwa Boat Harbour Oahu,Diving,Bitten on the arm,1340hrs,Not stated,,,,,2020,M,23,18–29,No,Diving/Snorkeling,Provoked
2025-01-02 00:00:00,2025,NEW CALEDONIA,Grande Terre,Islet of Kendek near Koumac,Spearfishing,Severe arm injury and delay in medical treatment caused victim to die,1615hr,Reportedly Tiger or Bull shark,,,,,2020,M,40,30–44,Yes,Fishing,Unprovoked
2025-01-02 00:00:00,2025,AUSTRALIA,South Australia,Granites Beach near Westall Streaky Bay,Surfing,Body not recovered,1710hr,Great White Shart estimated 4.8m 16 ft,,,,,2020,M,28,18–29,Yes,Surfing,Unprovoked
2024-12-30 00:00:00,2024,MOZAMBIQUE,?,?,Diving,Diving for sea urchins attacked by shark injuries not specified,?,Unknown,,,,,2020,M,,Unknown,Yes,Diving/Snorkeling,Unprovoked
2024-12-29 00:00:00,2024,EGYPT,North of Marsa Alam,Red Sea,SCUBA Diving,Injuries to stomach preventing attack on friend,?,Reportedly a Tiger Shark,,,,,2020,M,69,60+,No,Diving/Snorkeling,Unprovoked
2024-12-29 00:00:00,2024,EGYPT,North of Marsa Alam,Red Sea,SCUBA Diving,Entire calf muscle removed and bitten both arms and legs,?,Reportedly a Tiger Shark,,,,,2020,M,48,45–59,Yes,Diving/Snorkeling,Unprovoked
2024-12-28 00:00:00,2024,AUSTRALIA,Queensland,Humpy Island Great Keppel Island,Spearfishing,Life threatening injuries to neck and arm,1637hr,Unknown,,,,,2020,M,40,30–44,Yes,Fishing,Unprovoked
2024-12-02 00:00:00,2024,AUSTRALIA,Queensland,Curtis Island Near Gladstone QLD central coast,Spearfishing,Not stated but reported as minor injuries both arms,?,Not stated,,,,,2020,M,60,60+,No,Fishing,Unprovoked
